,album_name,track_number,song_id,song_name,song_uri,artist_name,artist_uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,RENAISSANCE,1,1MpCaOeUWhox2Fgigbe1cL,I'M THAT GIRL,spotify:track:1MpCaOeUWhox2Fgigbe1cL,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.0616,0.554,0.535,1.32e-05,0.124,-8.959,0.186,105.865,0.136,74
1,RENAISSANCE,2,0mKGwFMHzTprtS2vpR3b6s,COZY,spotify:track:0mKGwFMHzTprtS2vpR3b6s,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.000828,0.556,0.63,0.00468,0.155,-8.15,0.102,149.147,0.367,75
2,RENAISSANCE,3,1Hohk6AufHZOrrhMXZppax,ALIEN SUPERSTAR,spotify:track:1Hohk6AufHZOrrhMXZppax,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.00453,0.545,0.641,6.59e-05,0.171,-6.398,0.0998,121.892,0.464,78
3,RENAISSANCE,4,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,0.642,85
4,RENAISSANCE,5,0314PeD1sQNonfVWix3B2K,ENERGY (feat. Beam),spotify:track:0314PeD1sQNonfVWix3B2K,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.281,0.903,0.519,0.000106,0.155,-9.151,0.26,114.991,0.587,77
5,RENAISSANCE,6,5pyoxDZ1PX0KxBxiRVxA4U,BREAK MY SOUL,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.0581,0.693,0.887,2.71e-06,0.27,-5.039,0.0795,114.942,0.864,77
6,RENAISSANCE,7,2mqTtvbKxH7SoEQ2oGAnsA,CHURCH GIRL,spotify:track:2mqTtvbKxH7SoEQ2oGAnsA,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.0381,0.792,0.919,5.1e-06,0.368,-5.688,0.276,92.028,0.22,71
7,RENAISSANCE,8,6ufcuVInt0ocHrUimDjGlb,PLASTIC OFF THE SOFA,spotify:track:6ufcuVInt0ocHrUimDjGlb,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.14,0.618,0.712,4.53e-06,0.575,-8.246,0.114,97.057,0.305,71
8,RENAISSANCE,9,0Fl4eWzVaMUOdXcOrj6F1q,VIRGO'S GROOVE,spotify:track:0Fl4eWzVaMUOdXcOrj6F1q,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.0781,0.683,0.85,1.09e-06,0.741,-5.042,0.0699,107.988,0.598,72
9,RENAISSANCE,10,5YLGlPYkZBDXieMwzVve7g,MOVE (feat. Grace Jones & Tems),spotify:track:5YLGlPYkZBDXieMwzVve7g,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.0165,0.876,0.628,0.0339,0.0938,-6.595,0.0935,118.028,0.809,72
10,RENAISSANCE,11,1w7cgGZR86yWz1pA2puVJD,HEATED,spotify:track:1w7cgGZR86yWz1pA2puVJD,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,0.0636,0.785,0.732,0.000807,0.265,-5.724,0.164,110.952,0.496,78
